". tabdisp rank which_category, cell(bea_sum num_workers) cellwidth(20) "
"","","","","","","","","","","which_category","","","","","","","","","","","","",""
"rank","businessservs","","clothingperscare","","education","","exports","","food","","gov","","heath","","housing","","investment","","recreatnleisure","","transportation",""
"35","3341","70642.79","5415","53488.25","2211","124977.3","5111","191922.5","5170","153160.3","71A0","169894.5","5230","163180.2","5419","200167","3391","240960.6","3230","285952.3","5310","132892"
"36","5615","52859.5","3254","53157.36","811A","99103.35","3230","184631.3","5111","141087.8","3260","163779.8","5418","162897.5","332B","189540.6","48A0","239158.9","S002","282769.2","3230","129455.7"
"37","8111","50699.38","5111","52493.27","5620","96933.44","5419","182364.4","5151","140042.5","3341","160517.8","5419","160930.1","3270","181469.5","331A","237543.3","5415","271106.5","5230","123816.8"
"38","8120","50173.22","5170","49495.38","1120","92412.32","3391","182073.2","332B","139398.6","48A0","154597.6","48A0","157341.6","3230","178131.7","3339","232900","5419","269217.1","5170","118513.4"
"39","813B","49072.03","5151","47014.77","5418","88090.76","331A","181854.5","7210","138393.2","5111","153615.4","3256","157303.4","2212","169043.9","3364","232468.5","5411","263884.5","532A","111353.6"
"40","811A","49006.01","S007","46853.47","8111","84754.5","S001","179154.5","3270","125479.5","5310","144788","5111","156903.6","811A","153674.1","3230","230150.6","5310","262620.7","5419","104295.1"
"41","5120","44434.26","5414","43271.28","48A0","78197.21","3332","169846.6","4820","118669.3","S001","140274.1","2211","148015.1","5418","139712.7","71A0","230106","4920","242183.8","4930","97621.97"
"42","6100","42024.01","5419","42963.94","5120","76598.25","5417","165750.7","5120","106206.2","811A","137736.2","5417","147133.1","4850","138262.9","5414","228377.8","6230","230318.3","2130","96804.17"
"43","4810","41915.61","332B","38809.19","5414","75127.45","3251","165398.1","3361","103845.7","336A","137625.4","811A","136362.1","3130","135273","5418","209266.9","S001","222122.3","S007","96095.93"
"44","3370","41526.94","3260","38265.51","1110","74860.55","3331","159024.4","336A","99975.43","4920","129735.1","5151","131698","3140","132989.1","S001","206790","5151","218796.6","7210","92556.94"
"45","5414","39397.73","2211","36800.67","5151","72236.17","5418","156557.5","3370","95270.59","3361","125494.4","8111","123391.7","4820","126590.4","S007","206431.5","5418","215399.2","5418","92224.07"
"46","5152","38962.48","3251","36240.89","5230","66659.57","3270","154884.5","3122","93637.99","4810","121821.9","6240","121406.8","8140","126548.3","5417","196346.6","3364","187791.5","5321","86407.29"
"47","3361","37238.76","5230","34346.22","3260","62369.27","5321","151738.3","3210","89611.45","3323","117964.9","4930","116804.7","5230","126133.6","3334","186446.7","5230","168259.9","5111","85339.3"
"48","2211","31324.74","336A","34266.43","5190","53195.8","4820","148797.3","5414","89473.8","8120","116046.6","332B","112406.4","5111","120936","3345","173237.9","1110","157959.4","4820","81130.5"
"49","332B","29332.04","6100","32966.85","332B","51348.98","5310","142366.8","8120","87739.62","5414","109670","5620","107808.6","4930","117395.4","5151","172130.9","332B","153420.1","331A","81059.28"
"50","334A","29089.27","S002","32368.3","813B","46826.84","5414","140791.7","8111","85831.21","5615","108972.2","5615","98756.97","5151","112582.9","3351","169784.2","5414","140922.9","5615","79836.6"
"51","3260","26199.86","3256","28865.77","3341","46094.2","3345","135596","3324","84622.05","5620","106738.3","3270","98672.37","5414","107093.8","336B","165009.4","5152","139106","3270","79669.51"
"52","5417","25300.24","3110","26415.69","4810","44303.08","3339","135164.1","811A","81346.99","5190","97955.5","1120","97021.36","1110","105448.4","3341","164272.1","3260","130904.9","5151","79523.5"
"53","1110","24541.65","5417","25860.24","3210","43946.8","7210","132637.4","S002","80124.05","5418","97301.93","S002","96669.75","2121","99133.23","5230","159554.5","5417","128645.7","2211","77225.29"
"54","5620","24421.39","3370","25400.47","4930","42743.97","S007","130026.3","3221","79886.56","4930","95483.66","3252","95921.03","5615","96174.34","4930","152005","4930","125468.6","2110","73484.72"
"55","4930","23816.11","1110","22996.69","5615","41448.24","5151","129639","4850","76762.03","2211","90459.93","1110","95604.31","3323","94227.44","3335","148693.9","334A","125313.1","6100","68620.2"
"56","336A","23045.71","3361","22294.17","813A","41428.48","3341","126709","3332","75877.29","3345","88947.4","6100","90492.19","336A","90501.78","2211","145987.2","4850","123001.7","5417","61524.09"
"57","3210","22810.85","3252","22165.68","3370","41094.59","4930","118425.4","5230","75733.14","3110","87008.35","3341","88484.84","813B","89298.76","8111","144662.6","336A","121197.3","5414","61328.36"
"58","5190","22423.65","3140","21914.27","3270","41041.56","3323","113535.9","6100","75247","5230","84715.6","5414","86337.41","3361","83003.58","811A","138233","336B","114630.9","3370","54689.1"
"59","3270","21418.28","3221","20689.88","336A","40776.33","2211","113415.7","1140","74736.28","8111","83576.68","3370","85513.59","3351","81851.96","4850","131124.3","1120","111800","3323","54165.17"
"60","3110","21183.28","4810","20399.34","2212","38687.67","3370","107996.9","3331","72853.48","5151","76947.96","3222","79515.1","5417","80774.09","334A","123498.6","3341","99753.37","3210","53080.18"
"61","5180","20341.82","3332","19990.03","3221","33545.38","3256","104964.4","5417","70613.06","331A","75446.9","3361","77866.88","3221","78721.61","4820","115444.8","2211","95251.68","3341","51902.73"
"62","1120","18310","3210","19930.87","7130","32932.92","3210","104028.3","5620","68299.18","S002","73489.64","3259","76711.46","3251","74558.31","4810","112268.4","5615","90021.56","3332","47031.15"
"63","5321","15923.93","3222","19811.94","532A","30950.42","3335","96441.66","4810","66771.58","3351","73004.48","4810","69817.34","3222","70590.93","3359","109958","3110","88079","3251","46817.7"
