. table bea67 occ21 [pw = perwt], cellwidth(10)

---------------------------------------------------------------------------------------------------------------------------------------------
        |                                                                occ21                                                               
  bea67 |   Military MGRS & SAL LAWYERS &  HEALTH DIA ACCT & OTH SALES REP  SCI PROF & OTHER BUS    TEACHERS ARTS & LET MGRS & SAL B_C SUP & 
--------+------------------------------------------------------------------------------------------------------------------------------------
     64 |               283,092   2,785.12              44,930.1   91,111.2     36,443              5,301.11   14,763.3   28,965.2    150,484
     65 |               895,743   2,454.27              86,940.3   19,738.8    204,682   1,352.84   7,813.21   84,966.1    329,043    109,493
     66 |              79,633.9                         19,659.2   1,227.85   47,817.9                            8,894    2,752.8     66,462
     67 |               195,520              5,390.81     28,368    1,403.4    114,844   1,246.26              23,676.2              40,183.4
     68 |               341,137                         57,366.5    120,375   66,836.2              1,327.32   19,229.2   41,384.6    148,960
     69 |               730,475   7,673.91   3,917.21    1044727   23,449.8   33,734.2   13,318.2   13,190.8    348,969    7514370    194,524
     70 |               1733429   21,287.6   1,275.94    460,034    1880051   45,074.9   3,619.54    1,195.2     67,584   47,051.2   10,365.5
     71 |                                               7,939.12   40,835.4   1,453.87              1,299.82   78,845.1    127,770           
     72 |              16,555.6   3,075.51              43,057.6    1,532.4   12,609.3     28,177   16,007.4    539,073    3267183   35,752.4
     73 |               1057930   28,923.2   14,889.4    712,816    4,093.5    342,185    157,004    6507247    1418953    912,380   84,421.6
     74 |                                                 15,816                          242,010              1,351.01   73,649.8    1,215.9
     75 |                                               6,711.11   3,677.22   2,709.78              5,333.75               778,286   24,193.3
     76 |               129,334   1,397.76    428,820   10,186.6              14,065.5    256,473    107,405    196,655    263,619   9,504.31
     78 |               498,421   50,173.7   11,828.4    326,697   2,273.71    203,283   7,630.16   40,276.1    279,727   2,753.28   53,833.7
     79 |               569,200     43,791     13,907    332,474               216,324   16,181.3   41,180.5    282,903              38,215.2
    110 |               416,596   5,986.67   17,992.8   34,699.8              65,056.6   47,343.4    2640958    451,945   4,661.49   18,455.5
    111 |               337,020    613,398    754,983   93,850.5   5,144.34   42,554.4    2011846   76,036.2    310,346   36,890.1   25,468.5
---------------------------------------------------------------------------------------------------------------------------------------------

-----------------------------------------------------------------------------------------------------------------------
        |                                                     occ21                                                    
  bea67 | FARM OWNER HEALTH & T CRAFT REPA  PROT SERV   CLERICAL OPERATORS       SALES SERV WORKE   LABORERS FARM WORKE
--------+--------------------------------------------------------------------------------------------------------------
      0 |                                                                                                              
      1 |    2284815   1,223.94   26,162.8              31,222.9    119,481   3,291.56   18,197.2   26,874.6    1255965
      2 |    2956150   11,950.8   51,393.6               156,234    349,075   7,397.97   25,682.7   68,575.7    1682497
      3 |   5,773.28   7,736.34   6,343.67   4,121.26   19,341.8   53,936.9              1,374.09   41,735.2   1,260.55
      4 |    296,722    2,373.9   1,261.28              7,214.58   18,176.9   1,378.94              6,987.18    179,993
      5 |              1,134.21    120,486              27,763.5   39,890.6              4,283.23   9,242.57           
      6 |                          148,112              24,172.6   29,393.2              1,285.34   16,950.6           
      7 |              1,379.21    165,879              18,927.6   38,768.2    1,167.8   2,466.94   12,076.3           
      8 |              9,749.49    211,892              99,690.3     24,803   6,265.93   14,078.7   9,195.46           
      9 |              1,312.81   60,636.9              73,688.1     44,808   7,470.78   1,224.28   3,411.23           
     10 |              3,912.19   53,875.1              6,732.69   30,682.5   3,961.55   2,416.48                      
     11 |              84,355.4    2781918   1,162.39    392,591    973,279   10,835.7   56,800.3    1219302           
     12 |               109,842    2699102   4,915.63    351,652    993,137   8,980.43   46,241.2    1248676           
     13 |              13,773.5   77,656.3                73,232    269,456              11,411.8   28,796.7           
     14 |   2,753.09   55,826.7    560,090   1,277.63    685,521    2571009   66,393.7    116,631    1011181   3,925.57
     15 |              2,414.92   11,789.9              12,666.6    112,757              2,208.41   30,019.6           
     16 |              16,644.2    161,808               193,081    1928488              45,450.9    181,288           
     17 |                10,923     31,962              50,893.3    386,903               1,706.9   35,840.2           
     18 |              5,534.69    111,608               591,084    3480093     11,625   43,213.2    340,979           
     19 |              1,463.31   20,784.4              29,984.3    332,410              7,347.02   27,087.1           
     20 |              10,438.6   96,565.7              98,056.8    944,968              22,587.7    281,498           
     21 |              2,730.64   40,527.5              38,309.9    209,533              4,882.52   47,723.6           
