". table bea67 age_r [pw = perwt], cellwidth(10)"
"","","RECODE of age (Age)","",""
"bea67","0-18 years","19-25 year","26-39 year","40-59 year","60-99 year"
"62","","181,304","3,914.82","25,010.7","","1,232.22"
"63","","136,363","4,006.27","11,300.4","",""
"64","","813,435","9,009.96","88,701.2","2,634.38","2,622.98"
"65","","1190087","73,616.6","385,112","2,591.59","8,592.24"
"66","","134,845","6,478.45","30,234.7","",""
"67","","1195339","61,814.7","272,387","5,587.41","1,303.59"
"68","","316,938","15,116.3","105,856","1,431.35",""
"69","","1.53e+07","560,907","2317478","20,794.3","17,057.6"
"70","","2897706","129,940","787,565","18,752.8","14,000.9"
"71","","88,381.7","2,650.79","49,649.9","","2,328.01"
"72","","1.16e+07","181,690","756,006","14,382.1","36,909.9"
"73","1,307.19","4734270","354,640","5231152","828,138","881,177"
"74","","635,659","35,598.5","101,430","1,463.14","1,300.63"
"75","","120,086","7,472.07","25,872.9","1,144.33",""
"76","","1340393","58,669.8","473,128","15,546.8","27,720"
"78","","1036235","62,390.6","440,537","17,217.9","27,274.9"
"79","","1122186","81,160.6","410,582","28,866.7","23,899"
"110","","928,843","63,632.7","1357213","255,009","234,245"
"111","","6626094","242,930","2409177","117,970","181,464"

". table bea67 occ21 [pw = perwt], cellwidth(10)"
"","","","","","","","","","","","occ21","","","","","","","","","",""
"bea67","Military","MGRS & SAL","LAWYERS &","HEALTH DIA","ACCT & OTH","SALES REP","SCI PROF &","OTHER BUS","TEACHERS","ARTS & LET","MGRS & SAL","B_C SUP &","FARM OWNER","HEALTH & T","CRAFT REPA","PROT SERV","CLERICAL","OPERATORS","SALES","SERV WORKE","LABORERS","FARM WORKE"
"0","3271065","","","","","","","","","","","","","","","","","","","","",""
"1","","50,526.6","","18,316.9","1,439.48","","6,315.31","","11,388.8","4,174.67","44,662.5","3,652.34","2284815","1,223.94","26,162.8","","31,222.9","119,481","3,291.56","18,197.2","26,874.6","1255965"
"2","","170,384","","29,944.8","28,078.6","45,641.7","13,415.2","","17,384.9","5,042.92","60,069","14,387.9","2956150","11,950.8","51,393.6","","156,234","349,075","7,397.97","25,682.7","68,575.7","1682497"
"3","","16,560","","","1,375.92","","79,718.8","","","","33,760.2","1,236.99","5,773.28","7,736.34","6,343.67","4,121.26","19,341.8","53,936.9","","1,374.09","41,735.2","1,260.55"
"4","","11,896.5","","6,819.62","","","1,219.9","","1,155.66","","11,187","1,358.31","296,722","2,373.9","1,261.28","","7,214.58","18,176.9","1,378.94","","6,987.18","179,993"
"5","","22,982.7","","","1,384.29","11,854","7,843.29","","","1,215.23","1,335.27","31,738.9","","1,134.21","120,486","","27,763.5","39,890.6","","4,283.23","9,242.57",""
"6","","29,385.9","","","","9,450.33","1,263.4","","","","","22,043.9","","","148,112","","24,172.6","29,393.2","","1,285.34","16,950.6",""
"7","","10,437.8","","","","11,600.3","3,909.98","","","1,202.14","2,400.13","26,203.1","","1,379.21","165,879","","18,927.6","38,768.2","1,167.8","2,466.94","12,076.3",""
"8","","63,256.8","2,424.17","","17,575.4","2,514.13","66,967.7","","","3,666.98","9,314.49","20,307.5","","9,749.49","211,892","","99,690.3","24,803","6,265.93","14,078.7","9,195.46",""
"9","","30,654.9","1,273","","13,014.7","40,749.4","3,756.49","","","","3,810.89","13,934.1","","1,312.81","60,636.9","","73,688.1","44,808","7,470.78","1,224.28","3,411.23",""
"10","","15,089.2","","","1,384.9","","3,934.07","","","","5,367.43","10,000.2","","3,912.19","53,875.1","","6,732.69","30,682.5","3,961.55","2,416.48","",""
"11","","855,972","1,330.34","","42,450.5","4,801.66","127,029","","1,264.4","6,469.32","621,380","171,358","","84,355.4","2781918","1,162.39","392,591","973,279","10,835.7","56,800.3","1219302",""
"12","","911,376","1,345.54","","38,240.3","3,790.37","114,767","","","5,823.56","623,757","178,480","","109,842","2699102","4,915.63","351,652","993,137","8,980.43","46,241.2","1248676",""
"13","","37,461.8","1,290.66","","12,239.5","3,724.38","17,076.4","","","10,489.6","2,593","28,598.8","","13,773.5","77,656.3","","73,232","269,456","","11,411.8","28,796.7",""
"14","","540,649","","1,320.54","100,279","256,293","64,178.6","","1,582.66","20,491.1","149,882","277,989","2,753.09","55,826.7","560,090","1,277.63","685,521","2571009","66,393.7","116,631","1011181","3,925.57"
"15","","10,891.7","","","1,168.55","3,967.59","","2,647.63","","","","9,862.9","","2,414.92","11,789.9","","12,666.6","112,757","","2,208.41","30,019.6",""
"16","","80,515","","","18,692.4","23,937.2","13,303.6","1,141.81","","17,880","4,965.87","142,242","","16,644.2","161,808","","193,081","1928488","","45,450.9","181,288",""
"17","","30,465.1","","","4,227.36","9,191.53","4,945.36","","","1,231.68","","41,099.1","","10,923","31,962","","50,893.3","386,903","","1,706.9","35,840.2",""
"18","","345,706","","","43,518.1","252,810","8,047.89","","3,762.23","24,606.7","18,225.5","149,218","","5,534.69","111,608","","591,084","3480093","11,625","43,213.2","340,979",""
"19","","32,976.4","","","1,297.44","5,668.82","","","1,329.03","9,394.03","13,669.3","7,898.31","","1,463.31","20,784.4","","29,984.3","332,410","","7,347.02","27,087.1",""
"20","","161,555","","","13,566.4","25,798.4","8,992.42","","","","110,128","52,130.5","","10,438.6","96,565.7","","98,056.8","944,968","","22,587.7","281,498",""
"21","","22,104.7","","","2,464.82","6,581.44","2,541.17","","","","1,216.79","25,191.8","","2,730.64","40,527.5","","38,309.9","209,533","","4,882.52","47,723.6",""
"22","","90,462.5","","","6,134.69","81,131.6","1,408.5","","","1,543.91","5,264.83","6,531.03","","","13,674.5","","71,445.4","103,684","","2,928.64","46,594.5",""
"23","","87,628.4","","","13,128.2","30,460.5","21,414.2","","1,399.71","","3,864.54","56,863.4","","9,227.06","172,440","","146,894","769,097","","24,569","117,984",""
"24","","120,168","1,141.6","","18,477.5","61,716.1","35,560.7","","","10,464.8","1,387.44","94,036.6","","18,944.3","182,814","1,173.75","185,044","725,109","2,589.18","20,997.7","142,429",""
"25","","63,431.1","","","28,758.6","81,239.6","2,466.61","1,324.68","","3,796.35","2,674.54","47,870.4","","5,319.68","65,412.7","","148,692","427,637","","7,345.95","104,852",""
"26","","417,548","","","20,145.4","188,605","10,260.5","","","324,670","37,251.4","134,627","","6,923.08","184,330","","827,229","1225347","521,217","46,594.6","103,148",""
"27","","238,813","1,177.69","1,135.8","75,161.6","182,845","195,920","1,310.15","","17,974.7","2,871.9","144,190","","107,007","265,749","2,712.2","354,526","729,325","5,189.26","39,294.6","170,252",""
"28","","38,933.8","","","6,577.06","16,982.2","33,586","1,276.15","","1,174.59","","15,931.3","","19,703.8","26,193.7","","111,335","112,866","","12,726","33,856",""
"29","","95,187.8","","2,620.33","30,864.7","149,400","35,270.9","1,255.51","1,235.96","8,731.09","","36,128.6","","52,549.4","37,240.6","","168,305","158,449","4,236.87","28,105.6","73,279.7",""
"30","","31,260.8","","","5,043.2","17,899.5","6,414.41","","","","","11,508.2","","17,145.7","12,490.3","","50,984.8","59,450.6","","2,333.92","19,163.3",""
"31","","138,924","1,374.84","","42,208.5","101,194","40,563.7","","","10,431.2","5,113.97","39,048.4","","46,691.1","93,537.5","","218,786","219,010","1,505.73","8,946.68","61,144.6",""
"32","","139,213","","","30,933.1","33,067.9","39,487.7","1,374.67","","1,351.75","5,004.65","88,034.3","","33,073.9","129,135","","209,629","904,278","","32,311.9","118,532",""
"33","","8,871.57","","","1,093.79","4,890.1","1,242.92","","","","","3,512.74","","1,196.11","1,244.64","","20,322.6","58,438.9","","","16,419.2",""
"34","","49,499.1","","","1,319.78","15,491.1","2,946.23","","1,214.85","2,573.65","5,882.28","31,377.8","","","31,769.7","","77,631","732,683","5,210.23","3,756.44","46,897.5",""
"35","","34,263.7","","","13,878.8","10,126.2","19,760.2","1,319.62","","11,661.2","1,182.03","36,301","","9,932.88","65,149.2","","67,492.6","263,915","","10,094.4","63,886.6",""
"36","","119,090","","","7,539.92","43,280.9","24,702.4","1,415.2","","2,653.33","1,202.25","48,170.3","","21,813.6","133,828","","137,717","627,242","","15,090.1","200,740",""
"37","","85,069.8","","","26,573.6","18,546.8","54,043.9","2,378.49","","8,406.53","1,201.45","142,044","","47,257.6","468,307","","270,401","1071436","","48,452","461,532",""
"38","","73,153.5","","","26,008.4","25,863.1","40,986.2","2,798.44","","2,631.07","","70,039.7","","26,211.8","206,556","","142,055","588,129","","18,891.7","104,906",""
"39","","103,056","1,194.27","","42,206.2","21,215.7","62,885.5","","","8,579.35","5,177.41","84,266.5","","27,932.8","207,440","1,132.72","154,746","643,763","","23,801.4","91,924.3",""
"40","","119,610","","","16,482.6","24,316.3","31,120.8","","","2,383.16","1,252.11","67,655.8","","43,935.8","304,723","","135,432","601,088","","11,821.9","77,022.1",""
"41","","55,002.3","","","8,834.3","14,292.9","33,956.2","1,285.77","","7,328.48","","38,924","","27,110.5","129,143","","116,360","346,809","","10,758.8","59,591.7",""
"42","","31,005.1","","","9,795.76","12,755","11,816.3","1,337.59","","2,453.98","","19,408.2","","8,442.42","54,946.4","","90,272.9","283,106","1,316.49","9,798.59","36,744.4",""
"43","","26,394.7","","","8,688.36","2,496.43","15,650.6","","","5,268.04","1,299.8","15,648.6","","11,830.8","53,996.2","","38,293.4","135,835","","3,896.24","5,288.53",""
"44","","149,315","","","16,651.2","81,690.2","28,256.6","","","4,795.44","13,137.7","29,754.6","","8,268.02","104,152","","193,300","338,615","11,858.7","10,439.7","46,557.8",""
"45","","40,552.2","","","11,364.8","42,484.7","9,614.56","","","2,659.09","19,242","15,804.4","","10,451.9","118,429","","86,121.8","134,829","7,302.94","6,228","23,526.5",""
"46","","65,807.1","","","11,781.5","56,436.8","11,585.2","","","2,431.87","11,563.4","21,823.3","","11,729.7","130,025","","68,850.8","147,215","11,348.3","9,568.24","17,721.5",""
"47","","85,679.1","","1,464.88","25,203.7","64,794.2","35,422.8","","2,466.96","3,785.48","14,568.6","41,169.7","","28,405.5","194,380","","126,449","326,802","12,648.7","17,295.3","26,882.9",""
"48","","28,699.8","","","2,200.54","16,025.7","1,339.74","","","","12,557.7","1,376.21","","2,521.95","23,247.8","","41,046.8","15,790.3","5,350.33","1,573.41","",""
"49","","34,127.8","","","6,480.02","29,200.8","1,190.3","","","","5,465.69","7,221.64","","","36,975.5","","34,869.4","10,636.6","3,699.75","1,171.6","5,138.75",""
"50","","182,460","1,232.15","","39,813.9","98,766.9","113,884","","","12,062.2","8,767.16","80,576.8","","84,610.8","335,834","","234,899","703,426","6,332.38","19,838.6","66,918.7",""
"51","","204,310","1,153.65","","39,110.9","71,924.6","79,909.9","","1,226.45","29,401.1","6,472.31","23,946.6","","57,749.1","153,831","2,316.93","233,210","302,510","13,870.1","5,948.82","23,249",""
"52","","94,845.1","","","2,354.6","87,612.1","","","","3,784.36","3,648.32","2,406.34","","1,162.95","7,123.65","","47,393.3","69,116.3","1,085.93","","53,223.2",""
"53","","162,631","","","64,312.5","153,940","72,406.5","","1,160.5","16,760.5","31,613.1","44,525.9","","47,685","143,655","","266,133","411,941","26,750.9","10,413.6","54,607.6",""
"54","","173,207","","","34,486.6","76,120.5","128,753","1,232.9","","19,470.6","2,466.44","74,674.3","","78,710.2","146,727","","273,763","784,688","","15,212.4","83,911",""
"55","","21,818.7","","","13,059.6","37,565.8","1,349.02","","","","1,158.39","1,251.86","","","9,227.59","","41,972.7","9,728.69","1,399.38","1,301.35","5,617.51",""
"56","","165,058","","","63,801.2","33,438.6","183,175","3,714.63","1,313.36","36,354.5","2,380.3","135,939","","134,629","250,258","","455,712","1412445","3,621.24","48,934.5","93,738.2",""
"57","","12,119.4","","","1,355.7","3,809.56","7,840.99","","","","","","","2,501.36","2,328.96","","3,713.24","10,526.5","","","1,202.14",""
"58","","140,279","6,318.94","","49,190.2","20,260.9","91,260.2","5,240.12","1,333.63","19,080.5","2,486.36","190,337","","43,020.7","498,373","","325,398","1778039","1,184.74","83,572.3","169,740",""
"59","","209,131","","","53,761.6","45,727","358,915","1,384.66","5,672.27","56,890.8","","88,401.4","","115,242","387,408","1,190.72","381,468","648,275","2,676.89","41,958.7","32,240.7",""
"60","","25,847.3","","","6,410.05","","36,753.5","","","4,313.95","7,683.3","28,010","","21,778.5","367,232","","91,879.8","214,575","","9,870.5","45,412.8",""
"61","","165,641","","","41,943.9","28,537.6","162,540","","","24,356.9","3,778.53","94,907.4","","57,125.4","389,394","1,362.96","289,576","848,519","","33,397.7","80,881.6",""
"62","","39,032.4","","","9,765.66","14,359.4","31,004.6","","","11,489.6","1,265.95","9,862.96","","20,828.5","59,441.9","","97,698.5","171,342","","3,684.8","12,199.9",""
"63","","39,016.9","","","5,378.74","13,420.7","44,162","","","4,790.97","","9,399.73","","20,374.3","56,268","","68,791.9","181,152","","12,752.4","14,532.1",""
"64","","283,092","2,785.12","","44,930.1","91,111.2","36,443","","5,301.11","14,763.3","28,965.2","150,484","","11,516.9","1017952","5,146.99","635,802","1144049","10,842.9","60,476.9","331,192",""
"65","","895,743","2,454.27","","86,940.3","19,738.8","204,682","1,352.84","7,813.21","84,966.1","329,043","109,493","","51,010.3","745,612","6,551.06","3241200","2832010","75,455.2","347,456","789,348",""
"66","","79,633.9","","","19,659.2","1,227.85","47,817.9","","","8,894","2,752.8","66,462","","35,293.4","325,449","1,221.77","254,769","103,619","12,517","15,904.9","51,258.5",""
"67","","195,520","","5,390.81","28,368","1,403.4","114,844","1,246.26","","23,676.2","","40,183.4","","30,142.9","742,694","","1475076","29,657.5","27,516.5","32,657.2","22,061.5",""
"68","","341,137","","","57,366.5","120,375","66,836.2","","1,327.32","19,229.2","41,384.6","148,960","","46,123.4","562,245","1,254.63","644,553","556,831","55,285.1","37,511.2","403,349",""
"69","","730,475","7,673.91","3,917.21","1044727","23,449.8","33,734.2","13,318.2","13,190.8","348,969","7514370","194,524","","14,177.5","2738412","10,230.1","5300337","2518387","9710339","6732345","2036907",""
"70","","1733429","21,287.6","1,275.94","460,034","1880051","45,074.9","3,619.54","1,195.2","67,584","47,051.2","10,365.5","","17,394.1","175,497","2,538.84","3456203","136,781","92,489.2","399,271","62,812.5",""
"71","","","","","7,939.12","40,835.4","1,453.87","","1,299.82","78,845.1","127,770","","","","10,968.7","","112,511","17,575.4","9,348.09","3,080.29","5,246.11",""
"72","","16,555.6","3,075.51","","43,057.6","1,532.4","12,609.3","28,177","16,007.4","539,073","3267183","35,752.4","","244,716","378,396","8,783.19","942,398","1642916","194,094","9562196","383,391",""
"73","","1057930","28,923.2","14,889.4","712,816","4,093.5","342,185","157,004","6507247","1418953","912,380","84,421.6","","315,403","561,727","234,228","4062227","506,962","163,323","2857955","193,888",""
"74","","","","","15,816","","","242,010","","1,351.01","73,649.8","1,215.9","","","1,327.01","","91,590.6","61,283.5","698,405","118,287","35,917",""
"75","","","","","6,711.11","3,677.22","2,709.78","","5,333.75","","778,286","24,193.3","","3,890.73","721,622","","124,823","328,302","29,059.6","10,814.3","188,945",""
"76","","129,334","1,397.76","428,820","10,186.6","","14,065.5","256,473","107,405","196,655","263,619","9,504.31","","164,289","99,203.9","5,176.12","652,914","161,601","54,208.4","1015936","58,364.6",""
"78","","498,421","50,173.7","11,828.4","326,697","2,273.71","203,283","7,630.16","40,276.1","279,727","2,753.28","53,833.7","","118,088","362,103","642,414","1442784","229,893","20,209.7","305,734","78,599.4",""
"79","","569,200","43,791","13,907","332,474","","216,324","16,181.3","41,180.5","282,903","","38,215.2","","127,295","337,312","608,307","1528540","187,219","14,742.6","290,512","112,340",""
"110","","416,596","5,986.67","17,992.8","34,699.8","","65,056.6","47,343.4","2640958","451,945","4,661.49","18,455.5","","64,853.7","179,086","10,018.5","712,876","101,522","34,972.8","955,295","39,941.8",""
"111","","337,020","613,398","754,983","93,850.5","5,144.34","42,554.4","2011846","76,036.2","310,346","36,890.1","25,468.5","","1481652","300,884","54,419.5","2745044","294,410","39,554.5","3888646","60,361.5",""

". table bea67 occ21 [pw = perwt]  if sex == 1, cellwidth(10)"
"","","","","","","","","","","","occ21","","","","","","","","","",""
"bea67","Military","MGRS & SAL","LAWYERS &","HEALTH DIA","ACCT & OTH","SALES REP","SCI PROF &","OTHER BUS","TEACHERS","ARTS & LET","MGRS & SAL","B_C SUP &","FARM OWNER","HEALTH & T","CRAFT REPA","PROT SERV","CLERICAL","OPERATORS","SALES","SERV WORKE","LABORERS","FARM WORKE"
"0","3261705","","","","","","","","","","","","","","","","","","","","",""
"1","","42,605.3","","18,316.9","1,439.48","","5,003.51","","10,152.9","1,746.48","36,948.8","3,652.34","2184449","1,223.94","26,162.8","","5,120.19","109,096","1,211.36","11,692.5","20,103.6","1053010"
"2","","164,188","","29,353.2","24,312.3","45,641.7","13,415.2","","17,384.9","3,838.52","56,600.2","13,080","2826471","10,840.9","51,393.6","","41,409.1","315,515","6,133.59","16,341.3","65,269.7","1443632"
"3","","16,560","","","1,375.92","","74,424.4","","","","33,760.2","1,236.99","5,773.28","6,746.64","6,343.67","4,121.26","5,026.03","51,635.2","","1,374.09","39,252.2","1,260.55"
"4","","11,896.5","","6,819.62","","","1,219.9","","1,155.66","","9,769.28","1,358.31","283,424","1,282.33","1,261.28","","1,195.44","17,081.1","1,378.94","","4,401.47","153,883"
"5","","21,647.6","","","1,384.29","11,854","7,843.29","","","1,215.23","1,335.27","31,738.9","","1,134.21","119,277","","8,809.28","38,474.3","","1,560.55","9,242.57",""
"6","","29,385.9","","","","9,450.33","1,263.4","","","","","22,043.9","","","146,392","","9,830.04","29,393.2","","1,285.34","15,614.5",""
"7","","10,437.8","","","","11,600.3","3,909.98","","","","2,400.13","26,203.1","","1,379.21","165,879","","7,066.72","35,994.9","1,167.8","1,234.64","12,076.3",""
"8","","61,862.5","2,424.17","","16,396","2,514.13","65,640.9","","","3,666.98","8,011.74","18,988.7","","9,749.49","210,713","","31,114.7","23,469.3","6,265.93","11,446.4","9,195.46",""
"9","","26,974.4","1,273","","11,735.3","39,522.5","3,756.49","","","","3,810.89","13,934.1","","1,312.81","58,360.4","","28,983","44,808","6,352.75","1,224.28","3,411.23",""
"10","","15,089.2","","","1,384.9","","3,934.07","","","","5,367.43","10,000.2","","3,912.19","52,462.8","","3,965.53","30,682.5","3,961.55","2,416.48","",""
"11","","835,753","1,330.34","","39,856.9","4,801.66","127,029","","1,264.4","6,469.32","613,531","171,358","","80,487.3","2774563","1,162.39","97,219.2","969,870","7,945.39","46,624.4","1219302",""
"12","","893,414","1,345.54","","26,265.4","3,790.37","114,767","","","5,823.56","617,334","178,480","","106,786","2692631","4,915.63","86,837.2","989,361","7,701.12","37,693.7","1245197",""
"13","","36,255.5","1,290.66","","10,755.3","3,724.38","17,076.4","","","6,826.18","","28,598.8","","12,680.6","76,299.5","","27,752","189,725","","6,623.43","15,223.4",""
"14","","510,524","","1,320.54","89,795.5","203,835","63,041.1","","","16,562","134,041","243,498","2,753.09","28,608.2","544,268","1,277.63","250,007","1990401","47,990.1","72,991.2","609,920","3,925.57"
"15","","10,891.7","","","1,168.55","3,967.59","","","","","","7,406.61","","2,414.92","11,789.9","","2,949.3","46,277.4","","","19,017.3",""
"16","","75,572.2","","","17,344.3","20,098.8","11,982.2","","","7,500.29","1,280.77","117,372","","5,182.16","160,420","","69,523.3","710,673","","36,001.6","103,193",""
"17","","29,059.5","","","4,227.36","7,799.4","4,945.36","","","1,231.68","","36,131.3","","4,374.34","30,749.2","","29,855.2","256,790","","","30,797",""
"18","","317,070","","","33,510.9","244,852","8,047.89","","1,122.37","12,939.5","16,006.9","63,847.1","","4,271.44","104,238","","194,691","674,104","5,389.2","29,558.6","226,772",""
"19","","26,296","","","1,297.44","5,668.82","","","","6,765.32","3,980.24","3,651.05","","1,463.31","20,784.4","","11,390.1","57,804.1","","3,874.32","18,271.5",""
"20","","156,266","","","12,032.8","23,027.5","8,992.42","","","","108,842","50,838.5","","10,438.6","95,193.3","","35,021","913,347","","22,587.7","272,943",""
"21","","18,097.8","","","2,464.82","6,581.44","2,541.17","","","","1,216.79","23,769.3","","1,223.58","40,527.5","","16,498.4","154,655","","4,882.52","37,980.9",""
"22","","89,207","","","4,881.49","73,510.6","1,408.5","","","1,543.91","2,642.54","6,531.03","","","13,674.5","","25,015.7","98,942.6","","1,310.23","45,287",""
"23","","82,758.7","","","10,605.8","29,018.4","21,414.2","","1,399.71","","3,864.54","51,650","","9,227.06","160,687","","61,505","547,148","","23,049.6","96,303",""
"24","","115,649","1,141.6","","18,477.5","55,108.8","35,560.7","","","3,694.82","","91,392.7","","17,665.4","181,550","1,173.75","70,164.8","591,047","1,336.76","15,659.3","120,533",""
"25","","57,111.8","","","24,928.8","76,100.8","2,466.61","","","2,495.12","1,388.24","42,505.1","","5,319.68","61,677.3","","50,284.7","309,417","","7,345.95","65,109.8",""
"26","","357,299","","","11,790.2","160,406","10,260.5","","","201,007","30,573","116,069","","5,660.2","136,426","","201,132","978,079","491,273","35,741.8","67,610.1",""
"27","","231,123","1,177.69","1,135.8","75,161.6","175,130","192,195","","","12,698.2","2,871.9","143,078","","102,864","263,300","2,712.2","141,913","595,290","","29,149.3","141,791",""
"28","","30,118.6","","","6,577.06","13,041.2","28,434","","","1,174.59","","15,931.3","","13,361.8","25,230.8","","13,655.6","53,885.1","","8,013.22","15,635.6",""
"29","","90,131.9","","2,620.33","29,760.8","144,263","34,045.4","1,255.51","1,235.96","3,958.5","","33,600.3","","39,286.1","35,076.2","","47,978","119,250","","25,344.1","42,089.7",""
"30","","26,276.7","","","5,043.2","17,899.5","6,414.41","","","","","11,508.2","","11,697.4","12,490.3","","16,240.2","55,537.3","","","15,187",""
"31","","129,880","1,374.84","","39,569.4","91,728","40,563.7","","","9,138.32","3,804.17","37,704.2","","45,445.5","93,537.5","","74,790.6","216,581","","8,946.68","59,750.4",""
"32","","125,894","","","24,546.7","31,704.3","38,285.3","","","1,351.75","2,527.85","81,948.8","","30,561.4","128,050","","67,361.8","523,976","","23,517.8","67,827.2",""
"33","","8,871.57","","","1,093.79","4,890.1","1,242.92","","","","","3,512.74","","1,196.11","1,244.64","","14,104.5","46,841.1","","","16,419.2",""
"34","","43,262.8","","","1,319.78","14,205.5","2,946.23","","","2,573.65","5,882.28","17,515.2","","","29,086","","18,916.1","236,446","","2,537.36","17,357.6",""
"35","","32,714.9","","","13,878.8","8,969.26","19,760.2","","","2,659.63","1,182.03","36,301","","8,811.35","65,149.2","","24,093","189,034","","7,445.95","42,420.6",""
"36","","112,729","","","6,357.58","43,280.9","24,702.4","","","2,653.33","1,202.25","45,869","","21,813.6","132,578","","55,820.1","544,756","","11,508.8","186,901",""
"37","","82,497","","","25,208","18,546.8","54,043.9","","","8,406.53","1,201.45","140,733","","47,257.6","468,307","","157,851","1054223","","45,929.3","457,897",""
"38","","71,800.6","","","20,620.6","25,863.1","40,986.2","","","2,631.07","","70,039.7","","23,942.1","205,132","","65,739.9","502,044","","16,345.1","86,713.7",""
"39","","97,611.4","1,194.27","","40,947.3","21,215.7","62,885.5","","","7,429.72","5,177.41","75,123","","24,028.9","206,060","1,132.72","62,191.1","484,944","","21,276.2","73,171.4",""
"40","","112,037","","","13,978.2","24,316.3","31,120.8","","","2,383.16","1,252.11","67,655.8","","43,935.8","297,080","","62,874.7","558,466","","8,186.31","73,104.2",""
"41","","53,536.6","","","8,834.3","14,292.9","33,956.2","","","6,111.97","","37,662.4","","21,704.5","126,616","","36,285.8","233,777","","7,965.26","40,374.6",""
"42","","31,005.1","","","7,534.11","11,276.5","11,816.3","","","1,286.1","","19,408.2","","8,442.42","54,946.4","","28,734.5","165,684","","7,117.62","13,960.9",""
"43","","23,534.4","","","8,688.36","2,496.43","15,650.6","","","3,810.65","1,299.8","15,648.6","","11,830.8","51,315.2","","11,776.2","112,349","","3,896.24","4,027.45",""
"44","","139,894","","","12,707.6","77,904.3","28,256.6","","","2,367.3","13,137.7","29,754.6","","8,268.02","101,433","","57,404.8","322,093","10,647.4","10,439.7","40,940.9",""
"45","","37,974.5","","","11,364.8","41,120.6","9,614.56","","","2,659.09","19,242","15,804.4","","9,176.49","114,947","","38,209.6","111,335","5,984.22","6,228","20,598.6",""
"46","","61,478.4","","","7,838.32","56,436.8","11,585.2","","","2,431.87","11,563.4","21,823.3","","11,729.7","130,025","","26,291.1","127,632","4,830.09","5,876.31","16,286.6",""
"47","","83,094.4","","1,464.88","21,217","64,794.2","35,422.8","","2,466.96","3,785.48","10,767","41,169.7","","27,158.2","193,160","","45,714.3","297,510","10,253.4","15,873.5","26,882.9",""
"48","","28,699.8","","","2,200.54","16,025.7","1,339.74","","","","12,557.7","1,376.21","","2,521.95","23,247.8","","13,044.6","15,790.3","5,350.33","425.95","",""
"49","","29,905.9","","","5,167.19","29,200.8","1,190.3","","","","5,465.69","5,973","","","36,975.5","","12,283.6","10,636.6","1,161.73","1,171.6","5,138.75",""
"50","","170,593","1,232.15","","35,794.1","94,600.6","113,884","","","12,062.2","7,516.38","78,083","","83,361.5","333,249","","110,619","498,847","5,150.87","18,545.1","57,662.5",""
"51","","192,185","1,153.65","","36,585.1","70,799.9","79,909.9","","1,226.45","28,072.5","6,472.31","22,469.3","","56,374","151,044","2,316.93","84,024.9","170,719","7,523.13","5,948.82","12,844",""
"52","","88,112.9","","","2,354.6","87,612.1","","","","1,166.62","3,648.32","2,406.34","","1,162.95","7,123.65","","23,574","67,769.4","1,085.93","","51,815.4",""
"53","","156,243","","","57,632.8","144,784","72,406.5","","","12,930.2","30,330.3","40,654.1","","41,898.5","137,086","","104,951","225,948","23,005.1","9,103.19","49,199.7",""
"54","","161,419","","","30,981.3","73,729.7","128,753","","","18,229.6","2,466.44","64,334","","66,886.6","140,196","","79,979.3","332,317","","12,740","60,598.1",""
"55","","19,149.6","","","13,059.6","37,565.8","1,349.02","","","","1,158.39","1,251.86","","","9,227.59","","16,183.2","8,516.48","1,399.38","","5,617.51",""
"56","","150,700","","","51,110.7","33,438.6","180,538","","1,313.36","24,295.8","2,380.3","113,998","","114,834","234,775","","113,178","458,922","","42,017.5","62,007",""
"57","","9,678.05","","","1,355.7","3,809.56","7,840.99","","","","","","","2,501.36","2,328.96","","1,399.8","10,526.5","","","",""
"58","","132,684","6,318.94","","42,995.8","20,260.9","91,260.2","","1,333.63","16,449","1,223.7","189,098","","43,020.7","490,794","","192,998","1618341","","76,598.5","158,147",""
"59","","194,923","","","39,556.2","41,751.9","352,494","","5,672.27","46,523","","84,430","","112,174","377,368","1,190.72","115,776","546,546","","39,247.1","26,644.9",""
"60","","22,577.8","","","3,707.85","","35,475.9","","","4,313.95","6,482.29","28,010","","21,778.5","360,709","","29,189.1","196,265","","9,870.5","45,412.8",""
"61","","156,521","","","36,847","27,152.1","158,957","","","24,356.9","3,778.53","90,911.1","","52,355.1","377,728","1,362.96","120,225","613,833","","25,705.5","70,246.3",""
"62","","35,044.6","","","7,182.38","14,359.4","31,004.6","","","9,068.81","1,265.95","9,862.96","","19,549.9","52,297.9","","21,514.8","61,711.1","","3,684.8","3,966.98",""
"63","","37,794.7","","","4,120.97","13,420.7","44,162","","","4,790.97","","9,399.73","","16,475.3","56,268","","24,534.2","94,428","","7,723.27","5,252.23",""
"64","","257,515","2,785.12","","39,681","78,911.8","34,885.6","","","10,811.9","22,382.2","135,782","","11,516.9","1015478","5,146.99","365,908","658,093","2,281.38","52,522.7","264,748",""
"65","","777,686","2,454.27","","71,029.6","17,068.4","202,108","","3,856.89","75,455.6","319,202","109,493","","51,010.3","744,368","6,551.06","2158723","2594482","57,490.1","221,642","758,250",""
"66","","75,647.7","","","16,878.1","1,227.85","47,817.9","","","6,307.6","2,752.8","65,264.8","","35,293.4","325,449","1,221.77","102,624","103,619","8,805.55","12,227.5","49,785",""
